,Player,Event,X,Y,Distance,Slope,Type,Detail,Period,Home Team Skaters,Away Team Skaters,Result,Predicted Result,xG%
47,Haley Mack,Shot,37,51,163.2214753027309,-0.05219455933280546,Snapshot,Missed,2,5,5,0,0,0.001628
48,Haley Mack,Shot,167,61,37.83186487605389,-0.6277941383337672,Wristshot,Missed,2,5,5,0,0,0.0016606054
49,Haylea Schmid,Shot,183,39,17.356554957709783,0.20884148425670554,Wristshot,On Net,2,5,5,0,0,0.12650432
50,Nina Rodgers,Shot,160,27,42.8981351576033,0.4081354938181282,Wristshot,On Net,2,5,5,0,0,0.04864849
51,Tori Sullivan,Shot,180,32,22.588713996153036,0.5792200822893652,Snapshot,On Net,2,5,5,0,0,0.15493305
52,Audra Richards,Shot,184,46,16.3783393541592,-0.22230728055343132,Wristshot,On Net,2,5,5,0,0,0.14491194
53,Winny Brodt-Brown,Goal,188,55,17.327723451163457,-1.710136975532496,Snapshot,On Net,2,5,5,1,1,0.5645062
54,Samantha Davis,Shot,182,26,24.41823089414956,1.3042210453132472,Deflection,On Net,2,5,5,0,0,0.01613456
55,Sydney Baldwin,Shot,159,53,42.32316150761897,-0.2618472492816601,Snapshot,On Net,2,5,5,0,0,0.31543267
56,Sydney Baldwin,Shot,184,8,38.029593739612835,-1.5083158363538811,Wristshot,On Net,2,5,5,0,0,0.011216503
57,Christina Putigna,Shot,173,37,27.55449146690971,0.20656884418165294,Snapshot,On Net,2,5,5,0,1,0.545694
58,Allie Thunstrom,Shot,178,63,30.07074990750979,-1.3459734355397406,Snapshot,On Net,2,5,5,0,0,0.20460498
59,Taylor Wenczkowski,Shot,182,17,31.212978070027216,6.436585787687923,Wristshot,On Net,2,5,5,0,0,0.08868611
60,Samantha Davis,Shot,167,45,33.094561486745825,-0.07590283879738778,Snapshot,On Net,2,5,5,0,1,0.90970933
61,Lauren Kelly,Shot,128,25,74.0962212261867,0.24795767758917073,Slapshot,Missed,2,5,5,0,0,0.0026352948
62,Stephanie Anderson,Shot,171,51,30.220026472523152,-0.30179574135214227,Snapshot,On Net,2,4,5,0,0,0.21804917
63,Jillian Dempsey,Shot,165,60,39.131189606246316,-0.5463024898437905,Wristshot,On Net,2,4,5,0,0,0.107916616
64,Nina Rodgers,Shot,168,12,44.206899913927465,1.4076590127816844,Fan,Missed,2,5,4,0,0,0.0008601631
65,Meghan Lorence,Shot,168,53,33.67862823809782,-0.3404312285238304,Snapshot,On Net,2,5,4,0,1,0.679596
66,Meaghan Pezon,Shot,181,62,27.225906780123964,-1.6514280284936969,Wristshot,Missed,3,5,5,0,0,0.0013808991
67,Mallory Souliotis,Shot,173,69,37.83186487605389,-1.4957435899763547,Snapshot,On Net,3,5,5,0,0,0.018320253
68,Taylor Wenczkowski,Shot,169,33,32.42298567374695,0.31641944468732,Snapshot,On Net,3,5,5,0,1,0.76325876
69,Meghara McManus,Shot,169,27,34.659053651246744,0.5463024898437905,Snapshot,On Net,3,5,5,0,0,0.4371316
70,Carlee Turner,Shot,170,14,41.379342672401165,1.398382589287699,Wristshot,On Net,3,5,5,0,0,0.004714488
71,Allie Thunstrom,Shot,145,48,55.274315916164895,-0.10033467208545055,Snapshot,Missed,3,5,5,0,0,0.0027046301
72,Kaleigh Fratkin,Shot,161,61,43.165379646193315,-0.5134618187711149,Snapshot,Missed,3,5,5,0,0,0.0016421112
73,Jillian Dempsey,Shot,166,19,41.33098111586513,0.8273158869729855,Wristshot,On Net,3,5,5,0,0,0.004345154
74,Taylor Wenczkowski,Shot,164,42,36.003472054789384,0.013889782019074466,Snapshot,Missed,3,5,5,0,0,0.0035644644
75,Jillian Dempsey,Shot,171,46,29.21044333795706,-0.12127907784005254,Wristshot,On Net,3,5,5,0,1,0.5243048
76,Maddie Rowe,Shot,127,75,79.90775932285925,-0.4771553996363762,Slapshot,Missed,3,5,5,0,0,0.0018789021
77,Allie Thunstrom,Shot,171,52,30.516389039334257,-0.3398301030456892,Deflection,Missed,3,5,5,0,0,0.0008986566
78,Meaghan Rickard,Shot,176,41,24.046829312822098,0.06258150756627502,Snapshot,Missed,3,5,5,0,0,0.00269338
79,Haley Mack,Shot,179,46,21.289668856043768,-0.16822721830224246,Snapshot,On Net,3,5,4,0,1,0.8104995
80,Carlee Turner,Shot,172,34,29.261749776799064,0.3132537689302461,Snapshot,On Net,3,5,4,0,1,0.67280626
81,Jenna Rheault,Shot,171,57,32.42298567374695,-0.5463024898437905,Fan,Missed,3,5,5,0,0,0.0016169694
82,Taylor Wenczkowski,Shot,174,54,28.429737951659,-0.4736027544901381,Snapshot,On Net,3,5,5,0,1,0.53684783
83,Sydney Baldwin,Shot,150,40,50.06246098625196,0.05004170837553879,Snapshot,Missed,3,5,4,0,0,0.0017204923
84,Meghan Lorence,Shot,189,46,11.543396380615196,-0.32937276546596006,Wrap Around,Missed,3,5,4,0,0,0.0021457828
85,Meaghan Pezon,Shot,172,20,35.92005011132362,1.0370234431689012,Snapshot,Missed,3,5,4,0,0,0.0012810688
86,Allie Thunstrom,Shot,182,44,18.062391868188442,-0.08352677191506926,Snapshot,On Net,3,5,4,0,1,0.7311057
87,Allie Thunstrom,Shot,185,46,15.402921800749363,-0.2376621988053096,Snapshot,Missed,3,5,4,0,0,0.0032665052
88,Maddie Rowe,Shot,129,67,75.10825520540335,-0.3594520611289844,Snapshot,Missed,3,5,4,0,0,0.0013061223
89,Mallory Souliotis,Shot,147,9,62.69968101992226,0.7322983611205649,Snapshot,On Net,3,5,5,0,0,0.010450761
90,Samantha Davis,Shot,178,30,25.30316185775999,0.6384063699671582,Snapshot,On Net,3,5,5,0,0,0.038961917
91,Mary Parker,Shot,159,63,45.83939353874569,-0.5463024898437905,Snapshot,On Net,3,5,5,0,0,0.073669896
92,McKenna Brand,Shot,158,67,48.623553963074315,-0.6599430459842429,Snapshot,On Net,3,4,5,0,0,0.014393337
93,Alyssa Wohlfeiler,Shot,178,44,22.051077071199945,-0.06828766865945363,Snapshot,On Net,1,5,5,0,1,0.8113281
94,Alyssa Wohlfeiler,Shot,183,45,17.18284027743958,-0.14812818766413652,Snapshot,On Net,1,5,5,0,1,0.85549784
95,Elena Orlando,Shot,139,10,69.11765331664553,0.5896667646695448,Wristshot,Missed,1,5,5,0,0,0.0014662113
96,Alyssa Wohlfeiler,Shot,167,29,35.654592972014136,0.43355080911096977,Deflection,Missed,1,5,5,0,0,0.0017652273
97,Kayla Friesen,Shot,133,54,67.97977640445723,-0.17334746832066483,Wristshot,On Net,1,5,5,0,0,0.28199413
98,Jordan Juron,Shot,163,41,37.030392922571046,0.04056276508959541,Snapshot,On Net,1,5,4,0,0,0.30073383
99,Jordan Juron,Shot,166,75,47.03456176047567,-1.4159121259738345,Fan,Missed,1,5,4,0,0,0.001152122
100,Kaycie Anderson,Shot,172,32,29.90401310861136,0.39362657592563277,Wristshot,Missed,1,5,5,0,0,0.001462635
101,Kristin Lewicki,Shot,165,56,37.51333096380539,-0.40605383984755156,Snapshot,On Net,1,5,5,0,0,0.20768866
102,Kristin Lewicki,Shot,170,39,30.20347662107791,0.11719888547799497,Fan,Missed,1,5,5,0,0,0.0015737668
103,Alyson Matteau,Shot,177,46,23.264780248263683,-0.15335952161602429,Wristshot,On Net,1,5,5,0,0,0.22677857
104,Hanna Beattie,Shot,129,8,78.93826701923471,0.5281529618402656,Snapshot,Missed,1,5,5,0,0,0.0009296856
105,Alyssa Wohlfeiler,Shot,170,70,40.697051490249265,-1.3042210453132472,Snapshot,On Net,1,5,5,0,0,0.029920569
106,Autumn MacDougall,Shot,187,36,14.534441853748634,0.5463024898437905,Wristshot,On Net,1,5,5,0,0,0.06583008
107,Katelynn Russ,Shot,172,32,29.90401310861136,0.39362657592563277,Snapshot,On Net,1,5,5,0,0,0.41606274
108,Tori Howran,Shot,129,9,78.50636916836748,0.5102714781184496,Snapshot,On Net,1,5,5,0,0,0.05754684
109,Kaycie Anderson,Shot,150,23,53.66796064692602,0.4110549151522136,Snapshot,On Net,1,5,5,0,0,0.10991084
110,Sarah Schwenzfeier,Shot,186,6,39.092838218783754,-0.5919100833423518,Wristshot,On Net,1,5,5,0,0,0.1006443
111,Grace Klienbach,Shot,166,62,39.19502519453202,-0.645959300424325,Wristshot,On Net,1,5,5,0,0,0.106829695
112,Nicole Guagliardo,Shot,169,57,34.2235299172952,-0.5051284355053751,Snapshot,Missed,1,5,5,0,0,0.0028068053
113,Elena Orlando,Shot,155,2,60.5413082118317,1.2601582175503392,Snapshot,On Net,1,5,5,0,0,0.0032347394
114,Katelynn Russ,Shot,181,49,20.081085628023203,-0.3561073411182327,Snapshot,On Net,1,5,5,0,1,0.6658317
115,Janine Weber,Shot,147,49,53.3970972993851,-0.12326011263841163,Snapshot,On Net,1,5,5,0,0,0.4315196
116,Janine Weber,Shot,177,42,23.005434140654682,0.021742555645982587,Snapshot,On Net,2,5,5,0,1,0.5352614
117,Kristin Lewicki,Shot,178,43,22.005681084665387,-0.022731186633854462,Snapshot,Missed,2,5,5,0,0,0.0014332782
118,Cassidy MacPherson,Shot,177,60,28.90069203323685,-0.9521079239541194,Snapshot,On Net,2,5,5,0,0,0.45932668
119,Iveta Klimasova,Shot,121,78,86.60975695613052,-0.48227470776516246,Slapshot,On Net,2,5,5,0,0,0.06468829
120,Kaycie Anderson,Shot,175,53,27.115493725912497,-0.4465725462845951,Snapshot,Missed,2,5,5,0,0,0.0016839491
121,Elena Orlando,Shot,132,6,77.17674520216566,0.5950403334858404,Snapshot,Missed,2,5,5,0,0,0.0016149706
122,Janine Weber,Shot,170,37,30.5,0.1854153416104423,Deflection,Missed,2,5,5,0,0,0.0011048097
123,Kayla Friesen,Goal,144,15,62.38789946776538,0.5347651872485383,Snapshot,On Net,2,5,5,1,1,0.62973547
124,Amanda Conway,Shot,164,70,45.30176596999283,-0.9578809064765582,Wristshot,On Net,2,5,5,0,0,0.056010954
125,Cassidy MacPherson,Shot,174,61,31.9100297712177,-0.8622072701980754,Wristshot,On Net,2,5,5,0,0,0.05031853
126,Alyssa Wohlfeiler,Shot,155,74,54.92950027080166,-0.8422883804630794,Wristshot,On Net,2,5,5,0,0,0.03838946
127,Janine Weber,Shot,173,2,48.67494221876385,14.101419947171719,Wristshot,On Net,2,5,5,0,0,0.0098272255
128,Neve Van Pelt,Shot,185,56,20.180436070610565,-1.2601582175503392,Wristshot,On Net,2,5,5,0,0,0.03703232
129,Megan Delay,Shot,163,27,40.11545836706842,0.4452764936093542,Wristshot,On Net,2,5,5,0,0,0.03125055
130,Katelynn Russ,Shot,132,79,77.17674520216566,-0.5950403334858404,Snapshot,On Net,2,5,5,0,0,0.025995923
131,Kayla Friesen,Shot,177,56,26.669270706189174,-0.6651567120832749,Snapshot,On Net,2,5,5,0,0,0.4294322
132,Jordan Juron,Shot,166,39,34.1796723214252,0.10330634303091207,Snapshot,Missed,2,5,5,0,0,0.0037331725
133,Jordan Juron,Shot,190,38,10.965856099730654,0.4830550656165784,Snapshot,On Net,2,5,5,0,0,0.1684561
134,Kaycie Anderson,Shot,171,26,33.36540124140574,0.6395100279325201,Fan,Missed,2,5,5,0,0,0.001557947
135,Lenka Curmova,Shot,137,20,66.89730936293327,0.3731444067218928,Snapshot,On Net,2,5,5,0,0,0.436881
136,Emma Vlasic,Shot,167,38,33.30540496676178,0.1372152000205269,Snapshot,On Net,2,5,5,0,1,0.8267808
137,Erin Gehen,Shot,152,5,60.91182151274086,0.9917378983632686,Fan,Missed,2,5,5,0,0,0.000993202
138,Whitney Dove,Shot,184,7,38.939054944875075,-1.3210380118839729,Snapshot,On Net,2,5,5,0,0,0.07102947
139,Tori Howran,Shot,136,44,64.01757571167468,-0.02344179247759764,Snapshot,On Net,2,5,5,0,0,0.4730524
140,Kayla Friesen,Shot,159,81,56.24277731406941,-1.3664335358930888,Snapshot,Missed,2,5,5,0,0,0.0013284993
141,Grace Klienbach,Shot,169,39,31.196954979612993,0.11338541558668057,Snapshot,On Net,2,5,5,0,1,0.75531757
142,Brittany Colton,Shot,168,83,51.61637337124723,-3.1744868342365713,Snapshot,Missed,2,5,5,0,0,0.0018148541
143,Whitney Dove,Shot,144,63,59.63430220938282,-0.3833504374970664,Snapshot,Missed,2,5,5,0,0,0.0025820595
144,Maggie LaGue,Shot,178,56,25.811818998280614,-0.7043453598597261,Snapshot,On Net,2,5,5,0,0,0.48817712
145,Alyssa Wohlfeiler,Shot,186,47,14.705441169852742,-0.33297561286085925,Snapshot,On Net,2,5,5,0,1,0.63008976
146,Shannon Doyle,Shot,137,77,71.82791936287727,-0.6098340346641652,Slapshot,On Net,2,5,5,0,0,0.026540127
147,Cassidy MacPherson,Shot,177,55,26.177280225416848,-0.60416757598225,Snapshot,On Net,3,5,5,0,0,0.47793716
148,Whitney Dove,Shot,136,25,66.34945365261119,0.2804624701452514,Slapshot,Missed,3,5,5,0,0,0.0030047372
149,Janine Weber,Shot,156,49,44.477522413012174,-0.14881137169556544,Snapshot,On Net,3,5,5,0,0,0.38429555
150,Shannon Doyle,Shot,141,56,60.52478831024525,-0.2328922242764134,Wristshot,Missed,3,5,5,0,0,0.0022434967
151,Janine Weber,Shot,181,47,19.525624189766635,-0.24137226688581195,Deflection,On Net,3,5,5,0,0,0.16762091
152,Kayla Friesen,Shot,187,49,14.534441853748634,-0.5463024898437905,Snapshot,On Net,3,5,5,0,0,0.48221156
153,Katelynn Russ,Shot,171,18,37.963798545456434,1.1265272828184227,Wristshot,On Net,3,4,5,0,0,0.044137664
154,Kayla Meneghin,Shot,191,37,10.547511554864494,0.7005740234022801,Wrap Around,On Net,3,4,5,0,0,0.103140265
155,Maggie LaGue,Shot,138,37,62.2434735534578,0.08894310975140776,Wristshot,On Net,3,4,5,0,0,0.23039828
156,Katelynn Russ,Shot,186,34,16.3783393541592,0.6946745046867729,Snapshot,On Net,3,4,5,0,0,0.22409703
157,Nicole Guagliardo,Shot,177,71,36.62308015445998,-2.903707777877241,Snapshot,Missed,3,4,5,0,0,0.0006309349
158,Alyson Matteau,Shot,135,63,68.15607089614248,-0.3262749501623387,Slapshot,Missed,3,5,4,0,0,0.0013581055
159,Kristin Lewicki,Goal,168,28,35.131894341182345,0.48691509944840633,Wristshot,On Net,3,5,4,1,1,0.66853374
160,Erin Gehen,Shot,185,52,17.755280904564703,-0.734232547412554,Wristshot,On Net,3,5,5,0,0,0.41224828
161,Emma Vlasic,Shot,177,55,26.177280225416848,-0.60416757598225,Snapshot,Missed,3,5,5,0,0,0.002455545
162,Maggie LaGue,Shot,150,76,60.18513105410671,-0.7922541747282569,Wristshot,On Net,3,5,5,0,0,0.0132528385
163,Maddie Bishop,Shot,151,62,52.73755777432247,-0.4203896686642692,Wristshot,On Net,3,5,5,0,0,0.043124076
164,Brooke Stacey,Shot,138,60,64.42243398071824,-0.2900006965719308,Wristshot,On Net,3,5,5,0,0,0.039459404
165,Shannon Doyle,Shot,139,24,63.7436271324436,0.3129323323775812,Snapshot,Missed,3,5,5,0,0,0.0027793744
166,Whitney Dove,Shot,164,32,37.5,0.30022877509320933,Snapshot,On Net,3,5,5,0,0,0.4012692
167,Taylor Marchin,Shot,158,73,51.906165337077255,-0.8880803203762474,Fan,On Net,3,5,5,0,0,0.0023760363
168,Kaycie Anderson,Shot,172,32,29.90401310861136,0.39362657592563277,Fan,Missed,3,5,5,0,0,0.0013464162
169,Kayla Friesen,Shot,157,40,43.072613108563544,0.05820513143592661,Wristshot,Missed,3,5,5,0,0,0.0019364551
170,Janine Weber,Shot,182,42,18.006943105369107,0.027784924473725416,Snapshot,On Net,3,5,5,0,0,0.4254797
171,Shannon Doyle,Shot,134,79,75.4204879326566,-0.6172823746861613,Slapshot,Missed,3,5,5,0,0,0.0011365765
172,Janine Weber,Shot,174,55,28.848743473503312,-0.5215889558200336,Deflection,Missed,3,5,5,0,0,0.0010026017
173,Tori Howran,Shot,132,60,70.2157389763862,-0.2631891451580252,Snapshot,Missed,3,4,5,0,0,0.00082769495
174,Katelynn Russ,Shot,162,51,38.939054944875075,-0.22749107058914098,Deflection,Missed,3,4,5,0,0,0.0020175136
175,Nicole Guagliardo,Shot,150,54,51.30545779934139,-0.23414336235146527,Wristshot,On Net,3,4,5,0,0,0.12578177
176,Mackenzie Lancaster,Shot,182,37,18.82153022471871,0.3154339520974357,Snapshot,On Net,3,5,5,0,1,0.5310346
177,Kayla Meneghin,Shot,184,43,16.00781059358212,-0.031260176501255954,Snapshot,On Net,3,5,5,0,0,0.49728736
178,Brooke Stacey,Shot,168,28,35.131894341182345,0.48691509944840633,Snapshot,On Net,3,5,5,0,1,0.67971593
179,Autumn MacDougall,Shot,189,49,12.776932339180638,-0.6708730886418992,Snapshot,On Net,3,5,5,0,0,0.3041248
180,Brooke Stacey,Shot,188,36,13.647344063956181,0.601697417355872,Fan,Missed,3,5,5,0,0,0.0020259146
181,Kristin Lewicki,Shot,177,39,23.264780248263683,0.15335952161602429,Snapshot,Missed,3,5,5,0,0,0.0028067504
182,Katelynn Russ,Shot,181,68,31.80015723231569,-4.296213834793093,Fan,Missed,3,5,5,0,0,0.00034735774
183,Alyssa Wohlfeiler,Shot,171,65,36.704904304465906,-0.9811074000702631,Wristshot,On Net,3,5,5,0,0,0.08481334
184,Hunter Accursi,Shot,178,39,22.276669409945463,0.16044683063919238,Snapshot,On Net,3,5,5,0,1,0.638293
185,Janine Weber,Shot,172,15,39.24601890638081,1.4978867480281741,Snapshot,On Net,4,4,4,0,0,0.036186337
186,Kaycie Anderson,Shot,167,31,34.9463875100131,0.36331240354779853,Snapshot,Missed,4,4,4,0,0,0.0019692911
187,Maggie LaGue,Shot,147,43,53.002358438092166,-0.009434242147209088,Snapshot,Missed,4,4,4,0,0,0.00081155304
188,Emma Vlasic,Shot,187,49,14.534441853748634,-0.5463024898437905,Snapshot,Missed,4,4,4,0,0,0.00092581613
189,Kelly Babstock,Shot,187,47,13.756816492197604,-0.36067594645330486,Snapshot,On Net,1,5,5,0,1,0.66412866
190,Leila Kilduff,Goal,140,71,66.42476947645359,-0.5142721131734951,Wristshot,On Net,1,5,5,1,0,0.39394408
191,Theresa Knutson,Shot,153,72,55.49099025968089,-0.7255362140808882,Wristshot,On Net,1,5,5,0,0,0.08201837
192,Mallory Rushton,Shot,154,5,59.34854673873658,1.0614902748518904,Snapshot,Missed,1,5,4,0,0,0.0007018951
193,Emily Janiga,Shot,180,36,21.02974084481309,0.3369477561263745,Deflection,Missed,1,5,4,0,0,0.0019589374
194,Lindsay Eastwood,Shot,129,3,81.24807690031808,0.6218598301866346,Wristshot,Missed,1,5,5,0,0,0.0013053754
195,Sarah-Eve Coutu Godbout,Shot,161,31,40.660177077823946,0.30372618238888616,Deflection,On Net,1,5,5,0,0,0.019761786
196,Sarah-Eve Coutu Godbout,Shot,161,58,41.96724913548659,-0.4197740387446222,Snapshot,On Net,1,5,5,0,0,0.17552564
197,Rebecca Morse,Shot,148,82,65.30122510336234,-0.9497196673246502,Slapshot,Missed,1,5,5,0,0,0.0013280489
198,Shiann Darkangelo,Shot,125,5,83.85254915624212,0.5463024898437905,Snapshot,On Net,1,5,5,0,0,0.0076518897
199,Emma Woods,Shot,139,68,66.11542936410532,-0.44421508567911455,Wristshot,Missed,1,4,5,0,0,0.009948176
200,Shiann Darkangelo,Shot,182,37,18.82153022471871,0.3154339520974357,Snapshot,On Net,1,4,5,0,0,0.098454796
201,Emma Woods,Shot,156,43,44.0028408173836,-0.011364125526143208,Snapshot,On Net,1,4,5,0,0,0.15619536
202,Taylor Woods,Shot,134,34,66.54509749034861,0.1295046736508354,Wristshot,On Net,1,4,5,0,1,0.63064706
203,Taylor Woods,Shot,130,42,70.00178569150933,0.007142978622498613,Slapshot,Missed,1,4,5,0,0,0.0009566981
204,Amy Curlew,Shot,171,43,29.004310024546353,-0.017243087933973604,Deflection,On Net,1,4,5,0,1,0.7018102
205,Madison Packer,Shot,160,6,54.150253923689036,1.293027672608425,Wristshot,On Net,1,5,5,0,0,0.0037054569
206,Madison Packer,Shot,188,32,15.945218719101975,1.197421629234348,Snapshot,On Net,1,5,5,0,0,0.019440107
207,Breanne Wilson-Bennett,Shot,148,28,53.983793864455286,0.28630548474857687,Wristshot,On Net,1,5,5,0,0,0.28765967
208,Rebecca Russo,Shot,175,2,47.59464255564905,-20.30728204110463,Wristshot,On Net,1,5,5,0,0,0.015797531
209,Sarah Steele,Shot,144,2,69.1104188961404,0.8827708659097742,Wristshot,On Net,1,5,5,0,0,0.0032409425
210,Lindsay Eastwood,Shot,140,5,70.75485849042452,0.7214844409909045,Slapshot,Missed,1,5,5,0,0,0.0007002765
211,Madison Packer,Shot,156,18,50.36119537898202,0.6225258628053589,Slapshot,Missed,1,5,4,0,0,0.002083732
212,Kiira Dosdall,Shot,137,75,70.88899773589694,-0.5670947964041873,Wristshot,On Net,1,5,4,0,0,0.04009381
213,Kiira Dosdall,Shot,135,37,65.23227728663166,0.08481790668136766,Slapshot,On Net,1,5,4,0,0,0.017156275
214,Sarah Steele,Shot,135,4,75.54634339264872,0.6729030655710355,Wristshot,On Net,1,4,4,0,0,0.034482345
215,Shiann Darkangelo,Shot,178,67,32.92795165205391,-2.0328651248870746,Wristshot,On Net,1,4,4,0,1,0.5714648
216,Kristen Barbara,Shot,179,45,21.1482859825566,-0.11961321988799127,Snapshot,On Net,1,4,4,0,0,0.40837845
217,Mikyla Grant-Mentis,Shot,155,9,56.1003565051061,0.9212727181609532,Fan,Missed,1,4,5,0,0,0.0008738084
218,Mikyla Grant-Mentis,Shot,180,3,44.27471061452576,-2.337774972032397,Wristshot,On Net,1,4,5,0,0,0.16413769
219,Taylor Woods,Shot,146,21,58.12271500885002,0.42061204602116076,Wristshot,Missed,1,4,5,0,0,0.003671199
